"province","agegrp5","sex","no_reinf","reinf","total"
"MPUMALANGA","(45,50]","M",5882,82,5964
"MPUMALANGA","(45,50]","U",67,1,68
"MPUMALANGA","(5,10]","F",1442,22,1464
"MPUMALANGA","(5,10]","M",1379,13,1392
"MPUMALANGA","(5,10]","U",47,0,47
"MPUMALANGA","(50,55]","F",6483,71,6554
"MPUMALANGA","(50,55]","M",5075,58,5133
"MPUMALANGA","(50,55]","U",40,0,40
"MPUMALANGA","(55,60]","F",5166,41,5207
"MPUMALANGA","(55,60]","M",4470,51,4521
"MPUMALANGA","(55,60]","U",47,1,48
"MPUMALANGA","(60,65]","F",3292,20,3312
"MPUMALANGA","(60,65]","M",2967,25,2992
"MPUMALANGA","(60,65]","U",29,0,29
"MPUMALANGA","(65,70]","F",2261,11,2272
"MPUMALANGA","(65,70]","M",1964,17,1981
"MPUMALANGA","(65,70]","U",16,0,16
"MPUMALANGA","(70,75]","F",1389,9,1398
"MPUMALANGA","(70,75]","M",1267,12,1279
"MPUMALANGA","(70,75]","U",17,0,17
"MPUMALANGA","(75,80]","F",968,8,976
"MPUMALANGA","(75,80]","M",693,6,699
"MPUMALANGA","(75,80]","U",7,0,7
"MPUMALANGA","(80,Inf]","F",1104,6,1110
"MPUMALANGA","(80,Inf]","M",605,1,606
"MPUMALANGA","(80,Inf]","U",14,0,14
"NORTH WEST","UNKNOWN","F",1131,2,1133
"NORTH WEST","UNKNOWN","M",911,0,911
"NORTH WEST","UNKNOWN","U",116,0,116
"NORTH WEST","(0,5]","F",784,9,793
"NORTH WEST","(0,5]","M",884,9,893
"NORTH WEST","(0,5]","U",33,0,33
"NORTH WEST","(10,15]","F",3101,30,3131
"NORTH WEST","(10,15]","M",2462,28,2490
"NORTH WEST","(10,15]","U",108,1,109
"NORTH WEST","(15,20]","F",4915,43,4958
"NORTH WEST","(15,20]","M",3312,30,3342
"NORTH WEST","(15,20]","U",102,0,102
"NORTH WEST","(20,25]","F",5007,76,5083
"NORTH WEST","(20,25]","M",3721,59,3780
"NORTH WEST","(20,25]","U",94,1,95
"NORTH WEST","(25,30]","F",7421,142,7563
"NORTH WEST","(25,30]","M",5554,92,5646
"NORTH WEST","(25,30]","U",111,0,111
"NORTH WEST","(30,35]","F",8438,161,8599
"NORTH WEST","(30,35]","M",6974,125,7099
"NORTH WEST","(30,35]","U",112,0,112
"NORTH WEST","(35,40]","F",8462,112,8574
"NORTH WEST","(35,40]","M",7754,147,7901
"NORTH WEST","(35,40]","U",112,1,113
"NORTH WEST","(40,45]","F",7400,135,7535
"NORTH WEST","(40,45]","M",7257,103,7360
"NORTH WEST","(40,45]","U",82,0,82
"NORTH WEST","(45,50]","F",7010,112,7122
"NORTH WEST","(45,50]","M",6777,86,6863
"NORTH WEST","(45,50]","U",67,0,67
"NORTH WEST","(5,10]","F",1445,10,1455
"NORTH WEST","(5,10]","M",1397,17,1414
"NORTH WEST","(5,10]","U",59,0,59
"NORTH WEST","(50,55]","F",6406,69,6475
"NORTH WEST","(50,55]","M",6213,83,6296
"NORTH WEST","(50,55]","U",68,1,69
"NORTH WEST","(55,60]","F",5176,44,5220
"NORTH WEST","(55,60]","M",4976,47,5023
"NORTH WEST","(55,60]","U",59,0,59
"NORTH WEST","(60,65]","F",3442,20,3462
"NORTH WEST","(60,65]","M",2783,23,2806
"NORTH WEST","(60,65]","U",37,0,37
"NORTH WEST","(65,70]","F",2445,14,2459
"NORTH WEST","(65,70]","M",1969,10,1979
"NORTH WEST","(65,70]","U",21,0,21
"NORTH WEST","(70,75]","F",1580,7,1587
"NORTH WEST","(70,75]","M",1335,8,1343
"NORTH WEST","(70,75]","U",17,0,17
"NORTH WEST","(75,80]","F",1104,6,1110
"NORTH WEST","(75,80]","M",803,5,808
"NORTH WEST","(75,80]","U",24,0,24
"NORTH WEST","(80,Inf]","F",1230,9,1239
"NORTH WEST","(80,Inf]","M",744,1,745
"NORTH WEST","(80,Inf]","U",16,0,16
"NORTHERN CAPE","UNKNOWN","F",296,0,296
"NORTHERN CAPE","UNKNOWN","M",279,0,279
"NORTHERN CAPE","UNKNOWN","U",131,0,131
"NORTHERN CAPE","(0,5]","F",624,4,628
"NORTHERN CAPE","(0,5]","M",668,4,672
"NORTHERN CAPE","(0,5]","U",37,0,37
"NORTHERN CAPE","(10,15]","F",2787,24,2811
"NORTHERN CAPE","(10,15]","M",2334,8,2342
"NORTHERN CAPE","(10,15]","U",207,0,207
"NORTHERN CAPE","(15,20]","F",3435,30,3465
"NORTHERN CAPE","(15,20]","M",2372,25,2397
"NORTHERN CAPE","(15,20]","U",140,0,140
"NORTHERN CAPE","(20,25]","F",3206,53,3259
"NORTHERN CAPE","(20,25]","M",2248,23,2271
"NORTHERN CAPE","(20,25]","U",79,0,79
"NORTHERN CAPE","(25,30]","F",4258,70,4328
"NORTHERN CAPE","(25,30]","M",2901,46,2947
